Test Case ID	Run Time	Precision	Recall	F-measure	Notes
birthCertificate_p246-birthCertificate_p247	2093	0.577	0.682	0.625	-
birthCertificate_p246-birthCertificate_p248	1202	0.577	0.682	0.625	-
birthCertificate_p246-birthCertificate_p249	1168	0.458	0.611	0.524	-
birthCertificate_p246-birthCertificate_p250	1222	0.478	0.688	0.564	-
birthCertificate_p247-birthCertificate_p248	1362	0.7	1.0	0.824	-
birthCertificate_p247-birthCertificate_p249	1199	0.522	0.667	0.586	-
birthCertificate_p247-birthCertificate_p250	1158	0.55	0.579	0.564	-
birthCertificate_p248-birthCertificate_p249	1009	0.583	0.778	0.667	-
birthCertificate_p248-birthCertificate_p250	1072	0.55	0.579	0.564	-
birthCertificate_p249-birthCertificate_p250	1060	0.529	0.563	0.545	-
birthCertificate_p31-birthCertificate_p246	1088	0.857	0.261	0.4	-
birthCertificate_p31-birthCertificate_p247	1480	0.636	0.259	0.368	-
birthCertificate_p31-birthCertificate_p248	1155	0.667	0.231	0.343	-
birthCertificate_p31-birthCertificate_p249	1020	0.714	0.227	0.344	-
birthCertificate_p31-birthCertificate_p250	1130	0.364	0.19	0.25	-
birthCertificate_p31-birthCertificate_p32	1161	0.308	0.25	0.276	-
birthCertificate_p31-birthCertificate_p33	1262	0.25	0.4	0.308	-
birthCertificate_p31-birthCertificate_p34	1028	0.545	0.231	0.324	-
birthCertificate_p32-birthCertificate_p246	1060	0.3	0.188	0.231	-
birthCertificate_p32-birthCertificate_p247	1038	0.364	0.16	0.222	-
birthCertificate_p32-birthCertificate_p248	1047	0.3	0.125	0.176	-
birthCertificate_p32-birthCertificate_p249	984	0.273	0.158	0.2	-
birthCertificate_p32-birthCertificate_p250	1535	0.273	0.214	0.24	-
birthCertificate_p32-birthCertificate_p33	1165	0.357	0.385	0.37	-
birthCertificate_p32-birthCertificate_p34	963	0.111	0.071	0.087	-
birthCertificate_p33-birthCertificate_p246	1124	0.231	0.273	0.25	-
birthCertificate_p33-birthCertificate_p247	1134	0.308	0.308	0.308	-
birthCertificate_p33-birthCertificate_p248	1092	0.273	0.25	0.261	-
birthCertificate_p33-birthCertificate_p249	1094	0.167	0.25	0.2	-
birthCertificate_p33-birthCertificate_p250	1146	0.273	0.25	0.261	-
birthCertificate_p33-birthCertificate_p34	1113	0.5	0.625	0.556	-
birthCertificate_p34-birthCertificate_p246	956	0.25	0.333	0.286	-
birthCertificate_p34-birthCertificate_p247	1353	0.333	0.375	0.353	-
birthCertificate_p34-birthCertificate_p248	1415	0.429	0.375	0.4	-
birthCertificate_p34-birthCertificate_p249	976	0.375	0.6	0.462	-
birthCertificate_p34-birthCertificate_p250	1021	0.5	0.429	0.462	-
Global	42085	0.454	0.391	0.42	-
