Test Case ID	Run Time	Precision	Recall	F-measure	Notes
birthCertificate_p246-birthCertificate_p247	14972	0.8	0.545	0.648	-
birthCertificate_p246-birthCertificate_p248	5720	0.875	0.636	0.737	-
birthCertificate_p246-birthCertificate_p249	4969	0.857	0.667	0.75	-
birthCertificate_p246-birthCertificate_p250	4983	0.7	0.438	0.539	-
birthCertificate_p247-birthCertificate_p248	6679	0.955	1.0	0.977	-
birthCertificate_p247-birthCertificate_p249	5409	0.923	0.667	0.774	-
birthCertificate_p247-birthCertificate_p250	6369	0.8	0.421	0.552	-
birthCertificate_p248-birthCertificate_p249	5244	0.857	0.667	0.75	-
birthCertificate_p248-birthCertificate_p250	6811	0.75	0.316	0.445	-
birthCertificate_p249-birthCertificate_p250	5576	0.75	0.375	0.5	-
birthCertificate_p31-birthCertificate_p246	6442	0.5	0.043	0.079	-
birthCertificate_p31-birthCertificate_p247	6645	0.5	0.037	0.069	-
birthCertificate_p31-birthCertificate_p248	6503	0.5	0.038	0.071	-
birthCertificate_p31-birthCertificate_p249	5236	0.0	0.0	0.0	-
birthCertificate_p31-birthCertificate_p250	6013	1.0	0.048	0.092	-
birthCertificate_p31-birthCertificate_p32	4653	0.5	0.125	0.2	-
birthCertificate_p31-birthCertificate_p33	6580	1.0	0.2	0.333	-
birthCertificate_p31-birthCertificate_p34	4183	0.667	0.077	0.138	-
birthCertificate_p32-birthCertificate_p246	4292	0.667	0.125	0.211	-
birthCertificate_p32-birthCertificate_p247	4294	0.667	0.08	0.143	-
birthCertificate_p32-birthCertificate_p248	4189	0.667	0.083	0.148	-
birthCertificate_p32-birthCertificate_p249	4070	0.5	0.053	0.096	-
birthCertificate_p32-birthCertificate_p250	4119	1.0	0.143	0.25	-
birthCertificate_p32-birthCertificate_p33	4394	1.0	0.385	0.556	-
birthCertificate_p32-birthCertificate_p34	3659	0.0	0.0	0.0	-
birthCertificate_p33-birthCertificate_p246	6038	0.333	0.091	0.143	-
birthCertificate_p33-birthCertificate_p247	7075	0.333	0.077	0.125	-
birthCertificate_p33-birthCertificate_p248	6799	0.333	0.083	0.133	-
birthCertificate_p33-birthCertificate_p249	5573	0.0	0.0	0.0	-
birthCertificate_p33-birthCertificate_p250	6462	0.5	0.083	0.142	-
birthCertificate_p33-birthCertificate_p34	3960	0.0	0.0	0.0	-
birthCertificate_p34-birthCertificate_p246	3286	0.0	0.0	0.0	-
birthCertificate_p34-birthCertificate_p247	3714	0.0	0.0	0.0	-
birthCertificate_p34-birthCertificate_p248	3230	0.0	0.0	0.0	-
birthCertificate_p34-birthCertificate_p249	3264	0.0	0.0	0.0	-
birthCertificate_p34-birthCertificate_p250	3101	0.0	0.0	0.0	-
Global	194506	0.734	0.237	0.358	-
