Test Case ID	Run Time	Precision	Recall	F-measure	Notes
birthCertificate_p246-birthCertificate_p247	3288	0.714	0.682	0.698	-
birthCertificate_p246-birthCertificate_p248	2720	0.714	0.682	0.698	-
birthCertificate_p246-birthCertificate_p249	2725	0.714	0.556	0.625	-
birthCertificate_p246-birthCertificate_p250	2349	0.563	0.563	0.563	-
birthCertificate_p247-birthCertificate_p248	2211	0.8	0.952	0.869	-
birthCertificate_p247-birthCertificate_p249	4776	0.688	0.611	0.647	-
birthCertificate_p247-birthCertificate_p250	2041	0.8	0.421	0.552	-
birthCertificate_p248-birthCertificate_p249	1950	0.706	0.667	0.686	-
birthCertificate_p248-birthCertificate_p250	2032	0.8	0.421	0.552	-
birthCertificate_p249-birthCertificate_p250	2028	0.75	0.375	0.5	-
birthCertificate_p31-birthCertificate_p246	2123	0.5	0.087	0.148	-
birthCertificate_p31-birthCertificate_p247	2076	0.25	0.037	0.064	-
birthCertificate_p31-birthCertificate_p248	2015	0.5	0.077	0.133	-
birthCertificate_p31-birthCertificate_p249	1898	0.333	0.045	0.079	-
birthCertificate_p31-birthCertificate_p250	2945	0.25	0.048	0.081	-
birthCertificate_p31-birthCertificate_p32	1900	0.25	0.063	0.101	-
birthCertificate_p31-birthCertificate_p33	2078	0.4	0.2	0.267	-
birthCertificate_p31-birthCertificate_p34	1951	0.6	0.115	0.193	-
birthCertificate_p32-birthCertificate_p246	1990	0.5	0.125	0.2	-
birthCertificate_p32-birthCertificate_p247	1886	0.4	0.08	0.133	-
birthCertificate_p32-birthCertificate_p248	1997	0.5	0.083	0.142	-
birthCertificate_p32-birthCertificate_p249	1951	0.333	0.053	0.091	-
birthCertificate_p32-birthCertificate_p250	1973	0.667	0.143	0.236	-
birthCertificate_p32-birthCertificate_p33	2674	0.5	0.154	0.235	-
birthCertificate_p32-birthCertificate_p34	1977	0.0	0.0	0.0	-
birthCertificate_p33-birthCertificate_p246	1854	0.667	0.182	0.286	-
birthCertificate_p33-birthCertificate_p247	1936	0.5	0.077	0.133	-
birthCertificate_p33-birthCertificate_p248	1994	0.667	0.167	0.267	-
birthCertificate_p33-birthCertificate_p249	1855	0.5	0.125	0.2	-
birthCertificate_p33-birthCertificate_p250	1882	0.333	0.083	0.133	-
birthCertificate_p33-birthCertificate_p34	2192	0.0	0.0	0.0	-
birthCertificate_p34-birthCertificate_p246	1944	0.333	0.167	0.222	-
birthCertificate_p34-birthCertificate_p247	2056	0.333	0.125	0.182	-
birthCertificate_p34-birthCertificate_p248	2041	0.0	0.0	0.0	-
birthCertificate_p34-birthCertificate_p249	1983	0.0	0.0	0.0	-
birthCertificate_p34-birthCertificate_p250	2194	0.0	0.0	0.0	-
Global	79485	0.615	0.252	0.358	-
